standard,standard_area,source_version,scope_or_group,role_count,base_nodes,closed_dimensions,member_counts,formula,reportable_coordinates,technical_coordinates,typed_open_dimensions,excluded_repetitions,source_locator,notes,role_codes
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI 304-4.a.i, GRI 304-4.a.ii, GRI 304-4.a.iii, GRI 304-4.a.iv, GRI 304-4.a.v",5,5,none,1,5 x 1,5,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,extinction_risk_level=fixed,GRI 304-4.a.i;GRI 304-4.a.ii;GRI 304-4.a.iii;GRI 304-4.a.iv;GRI 304-4.a.v
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_301_1_a_i_non_renewable_materials_used, GRI_301_1_a_ii_renewable_materials_used",2,2,none,1,2 x 1,2,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,material_resource_class=fixed,GRI_301_1_a_i_non_renewable_materials_used;GRI_301_1_a_ii_renewable_materials_used
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_302_1_a_non_renewable_fuel_consumed, GRI_302_1_b_renewable_fuel_consumed, GRI_302_1_e_total_energy_consumption_within_organization, GRI_302_2_a_energy_consumption_outside_organization, GRI_302_3_d_boundary_within_organization, GRI_302_3_d_boundary_outside_organization",6,6,none,1,6 x 1,6,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,energy_consumption_boundary=fixed,GRI_302_1_a_non_renewable_fuel_consumed;GRI_302_1_b_renewable_fuel_consumed;GRI_302_1_e_total_energy_consumption_within_organization;GRI_302_2_a_energy_consumption_outside_organization;GRI_302_3_d_boundary_within_organization;GRI_302_3_d_boundary_outside_organization
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_302_1_c_electricity_consumption, GRI_302_1_c_heating_consumption, GRI_302_1_c_cooling_consumption, GRI_302_1_c_steam_consumption",4,4,none,1,4 x 1,4,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,energy_type=fixed; energy_consumption_boundary=fixed,GRI_302_1_c_electricity_consumption;GRI_302_1_c_heating_consumption;GRI_302_1_c_cooling_consumption;GRI_302_1_c_steam_consumption
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_302_1_d_electricity_sold, GRI_302_1_d_heating_sold, GRI_302_1_d_cooling_sold, GRI_302_1_d_steam_sold, GRI_302_3_c_energy_type_fuel_included, GRI_302_3_c_energy_type_electricity_included, GRI_302_3_c_energy_type_heating_included, GRI_302_3_c_energy_type_cooling_included ...",14,14,none,1,14 x 1,14,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,energy_type=fixed,GRI_302_1_d_electricity_sold;GRI_302_1_d_heating_sold;GRI_302_1_d_cooling_sold;GRI_302_1_d_steam_sold;GRI_302_3_c_energy_type_fuel_included;GRI_302_3_c_energy_type_electricity_included;GRI_302_3_c_energy_type_heating_included;GRI_302_3_c_energy_type_cooling_included;GRI_302_3_c_energy_type_steam_included;GRI_302_4_b_energy_type_fuel_included;GRI_302_4_b_energy_type_electricity_included;GRI_302_4_b_energy_type_heating_included;GRI_302_4_b_energy_type_cooling_included;GRI_302_4_b_energy_type_steam_included
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_303_3_a_surface_water_all_areas, GRI_303_3_a_groundwater_all_areas, GRI_303_3_a_seawater_all_areas, GRI_303_3_a_produced_water_all_areas, GRI_303_3_a_third_party_water_all_areas, GRI_303_3_b_surface_water_water_stressed_areas, GRI_303_3_b_groundwater_water_stressed_areas, GRI_303_3_b_seawater_water_stressed_areas ...",50,50,none,1,50 x 1,50,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,water_stress_area=fixed; water_source=fixed,GRI_303_3_a_surface_water_all_areas;GRI_303_3_a_groundwater_all_areas;GRI_303_3_a_seawater_all_areas;GRI_303_3_a_produced_water_all_areas;GRI_303_3_a_third_party_water_all_areas;GRI_303_3_b_surface_water_water_stressed_areas;GRI_303_3_b_groundwater_water_stressed_areas;GRI_303_3_b_seawater_water_stressed_areas;GRI_303_3_b_produced_water_water_stressed_areas;GRI_303_3_b_third_party_water_water_stressed_areas;GRI-SF-11.6.4_303-3-a-i;GRI-SF-11.6.4_303-3-a-ii;GRI-SF-11.6.4_303-3-a-iii;GRI-SF-11.6.4_303-3-a-iv;GRI-SF-11.6.4_303-3-a-v;GRI-SF-11.6.4_303-3-b-i;GRI-SF-11.6.4_303-3-b-ii;GRI-SF-11.6.4_303-3-b-iii;GRI-SF-11.6.4_303-3-b-iv;GRI-SF-11.6.4_303-3-b-v;GRI-SF-12.7.4_303-3-a-i;GRI-SF-12.7.4_303-3-a-ii;GRI-SF-12.7.4_303-3-a-iii;GRI-SF-12.7.4_303-3-a-iv;GRI-SF-12.7.4_303-3-a-v;GRI-SF-12.7.4_303-3-b-i;GRI-SF-12.7.4_303-3-b-ii;GRI-SF-12.7.4_303-3-b-iii;GRI-SF-12.7.4_303-3-b-iv;GRI-SF-12.7.4_303-3-b-v;GRI-SF-13.7.4_303-3-a-i;GRI-SF-13.7.4_303-3-a-ii;GRI-SF-13.7.4_303-3-a-iii;GRI-SF-13.7.4_303-3-a-iv;GRI-SF-13.7.4_303-3-a-v;GRI-SF-13.7.4_303-3-b-i;GRI-SF-13.7.4_303-3-b-ii;GRI-SF-13.7.4_303-3-b-iii;GRI-SF-13.7.4_303-3-b-iv;GRI-SF-13.7.4_303-3-b-v;GRI-SF-14.7.4_303-3-a-i;GRI-SF-14.7.4_303-3-a-ii;GRI-SF-14.7.4_303-3-a-iii;GRI-SF-14.7.4_303-3-a-iv;GRI-SF-14.7.4_303-3-a-v;GRI-SF-14.7.4_303-3-b-i;GRI-SF-14.7.4_303-3-b-ii;GRI-SF-14.7.4_303-3-b-iii;GRI-SF-14.7.4_303-3-b-iv;GRI-SF-14.7.4_303-3-b-v
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_303_3_a_total_all_areas, GRI_303_3_b_total_water_stressed_areas, GRI_303_4_a_total_all_areas, GRI_303_4_c_total_water_stressed_areas, GRI_303_5_a_total_water_consumption_all_areas, GRI_303_5_b_total_water_consumption_water_stressed_areas, GRI-SF-11.6.4_303-3-a, GRI-SF-11.6.4_303-3-b ...",22,22,none,1,22 x 1,22,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,water_stress_area=fixed,GRI_303_3_a_total_all_areas;GRI_303_3_b_total_water_stressed_areas;GRI_303_4_a_total_all_areas;GRI_303_4_c_total_water_stressed_areas;GRI_303_5_a_total_water_consumption_all_areas;GRI_303_5_b_total_water_consumption_water_stressed_areas;GRI-SF-11.6.4_303-3-a;GRI-SF-11.6.4_303-3-b;GRI-SF-11.6.5_303-4-a;GRI-SF-11.6.5_303-4-c;GRI-SF-12.7.4_303-3-a;GRI-SF-12.7.4_303-3-b;GRI-SF-12.7.5_303-4-a;GRI-SF-12.7.5_303-4-c;GRI-SF-13.7.4_303-3-a;GRI-SF-13.7.4_303-3-b;GRI-SF-13.7.5_303-4-a;GRI-SF-13.7.5_303-4-c;GRI-SF-14.7.4_303-3-a;GRI-SF-14.7.4_303-3-b;GRI-SF-14.7.5_303-4-a;GRI-SF-14.7.5_303-4-c
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_303_3_c_surface_water_freshwater_all_areas, GRI_303_3_c_surface_water_other_water_all_areas, GRI_303_3_c_groundwater_freshwater_all_areas, GRI_303_3_c_groundwater_other_water_all_areas, GRI_303_3_c_seawater_freshwater_all_areas, GRI_303_3_c_seawater_other_water_all_areas, GRI_303_3_c_produced_water_freshwater_all_areas, GRI_303_3_c_produced_water_other_water_all_areas ...",20,20,none,1,20 x 1,20,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,water_stress_area=fixed; water_source=fixed; water_type=fixed,GRI_303_3_c_surface_water_freshwater_all_areas;GRI_303_3_c_surface_water_other_water_all_areas;GRI_303_3_c_groundwater_freshwater_all_areas;GRI_303_3_c_groundwater_other_water_all_areas;GRI_303_3_c_seawater_freshwater_all_areas;GRI_303_3_c_seawater_other_water_all_areas;GRI_303_3_c_produced_water_freshwater_all_areas;GRI_303_3_c_produced_water_other_water_all_areas;GRI_303_3_c_third_party_water_freshwater_all_areas;GRI_303_3_c_third_party_water_other_water_all_areas;GRI_303_3_c_surface_water_freshwater_water_stressed_areas;GRI_303_3_c_surface_water_other_water_water_stressed_areas;GRI_303_3_c_groundwater_freshwater_water_stressed_areas;GRI_303_3_c_groundwater_other_water_water_stressed_areas;GRI_303_3_c_seawater_freshwater_water_stressed_areas;GRI_303_3_c_seawater_other_water_water_stressed_areas;GRI_303_3_c_produced_water_freshwater_water_stressed_areas;GRI_303_3_c_produced_water_other_water_water_stressed_areas;GRI_303_3_c_third_party_water_freshwater_water_stressed_areas;GRI_303_3_c_third_party_water_other_water_water_stressed_areas
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_303_4_a_surface_water_all_areas, GRI_303_4_a_groundwater_all_areas, GRI_303_4_a_seawater_all_areas, GRI_303_4_a_third_party_water_all_areas, GRI-SF-11.6.5_303-4-a-i, GRI-SF-11.6.5_303-4-a-ii, GRI-SF-11.6.5_303-4-a-iii, GRI-SF-12.7.5_303-4-a-i ...",16,16,none,1,16 x 1,16,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,water_stress_area=fixed; water_destination=fixed,GRI_303_4_a_surface_water_all_areas;GRI_303_4_a_groundwater_all_areas;GRI_303_4_a_seawater_all_areas;GRI_303_4_a_third_party_water_all_areas;GRI-SF-11.6.5_303-4-a-i;GRI-SF-11.6.5_303-4-a-ii;GRI-SF-11.6.5_303-4-a-iii;GRI-SF-12.7.5_303-4-a-i;GRI-SF-12.7.5_303-4-a-ii;GRI-SF-12.7.5_303-4-a-iii;GRI-SF-13.7.5_303-4-a-i;GRI-SF-13.7.5_303-4-a-ii;GRI-SF-13.7.5_303-4-a-iii;GRI-SF-14.7.5_303-4-a-i;GRI-SF-14.7.5_303-4-a-ii;GRI-SF-14.7.5_303-4-a-iii
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_303_4_a_third_party_water_sent_for_use, GRI-SF-11.6.5_303-4-a-iv, GRI-SF-12.7.5_303-4-a-iv, GRI-SF-13.7.5_303-4-a-iv, GRI-SF-14.7.5_303-4-a-iv",5,5,none,1,5 x 1,5,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,water_stress_area=fixed; water_destination=fixed; third_party_water_use=fixed,GRI_303_4_a_third_party_water_sent_for_use;GRI-SF-11.6.5_303-4-a-iv;GRI-SF-12.7.5_303-4-a-iv;GRI-SF-13.7.5_303-4-a-iv;GRI-SF-14.7.5_303-4-a-iv
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_303_4_b_freshwater_all_areas, GRI_303_4_b_other_water_all_areas, GRI_303_4_c_freshwater_water_stressed_areas, GRI_303_4_c_other_water_water_stressed_areas, GRI-SF-11.6.5_303-4-b-i, GRI-SF-11.6.5_303-4-b-ii, GRI-SF-11.6.5_303-4-c-i, GRI-SF-11.6.5_303-4-c-ii ...",20,20,none,1,20 x 1,20,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,water_stress_area=fixed; water_type=fixed,GRI_303_4_b_freshwater_all_areas;GRI_303_4_b_other_water_all_areas;GRI_303_4_c_freshwater_water_stressed_areas;GRI_303_4_c_other_water_water_stressed_areas;GRI-SF-11.6.5_303-4-b-i;GRI-SF-11.6.5_303-4-b-ii;GRI-SF-11.6.5_303-4-c-i;GRI-SF-11.6.5_303-4-c-ii;GRI-SF-12.7.5_303-4-b-i;GRI-SF-12.7.5_303-4-b-ii;GRI-SF-12.7.5_303-4-c-i;GRI-SF-12.7.5_303-4-c-ii;GRI-SF-13.7.5_303-4-b-i;GRI-SF-13.7.5_303-4-b-ii;GRI-SF-13.7.5_303-4-c-i;GRI-SF-13.7.5_303-4-c-ii;GRI-SF-14.7.5_303-4-b-i;GRI-SF-14.7.5_303-4-b-ii;GRI-SF-14.7.5_303-4-c-i;GRI-SF-14.7.5_303-4-c-ii
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_305_1_a_gross_scope1_ghg_emissions, GRI_305_1_c_biogenic_co2_emissions, GRI_305_1_d_ii_base_year_emissions, GRI_305_2_d_ii_base_year_emissions, GRI 305-3.a, GRI 305-3.c, GRI 305-3.e.ii, gri_305_4_c_scope1_included ...",27,27,none,1,27 x 1,27,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed,GRI_305_1_a_gross_scope1_ghg_emissions;GRI_305_1_c_biogenic_co2_emissions;GRI_305_1_d_ii_base_year_emissions;GRI_305_2_d_ii_base_year_emissions;GRI 305-3.a;GRI 305-3.c;GRI 305-3.e.ii;gri_305_4_c_scope1_included;gri_305_4_c_scope2_included;gri_305_4_c_scope3_included;GRI_305_5_d_scope1_reductions_occurred;GRI_305_5_d_scope2_reductions_occurred;GRI_305_5_d_scope3_reductions_occurred;GRI_305_5_a_scope1_reduction_tco2e;GRI_305_5_a_scope3_reduction_tco2e;GRI_305_5_c_scope1_baseline_type;GRI_305_5_c_scope1_baseline_end_date;GRI_305_5_c_scope1_baseline_rationale;GRI_305_5_c_scope2_baseline_type;GRI_305_5_c_scope2_baseline_end_date;GRI_305_5_c_scope2_baseline_rationale;GRI_305_5_c_scope3_baseline_type;GRI_305_5_c_scope3_baseline_end_date;GRI_305_5_c_scope3_baseline_rationale;GRI_305_5_offset_contribution_scope1_tco2e;GRI_305_5_offset_contribution_scope2_tco2e;GRI_305_5_offset_contribution_scope3_tco2e
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_305_1_b_gas_co2_included, GRI_305_1_b_gas_ch4_included, GRI_305_1_b_gas_n2o_included, GRI_305_1_b_gas_hfcs_included, GRI_305_1_b_gas_pfcs_included, GRI_305_1_b_gas_sf6_included, GRI_305_1_b_gas_nf3_included, GRI_305_2_c_gas_co2_included ...",28,28,none,1,28 x 1,28,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; ghg_gas=fixed,GRI_305_1_b_gas_co2_included;GRI_305_1_b_gas_ch4_included;GRI_305_1_b_gas_n2o_included;GRI_305_1_b_gas_hfcs_included;GRI_305_1_b_gas_pfcs_included;GRI_305_1_b_gas_sf6_included;GRI_305_1_b_gas_nf3_included;GRI_305_2_c_gas_co2_included;GRI_305_2_c_gas_ch4_included;GRI_305_2_c_gas_n2o_included;GRI_305_2_c_gas_hfcs_included;GRI_305_2_c_gas_pfcs_included;GRI_305_2_c_gas_sf6_included;GRI_305_2_c_gas_nf3_included;gri_305_4_d_gas_co2_scope1;gri_305_4_d_gas_ch4_scope1;gri_305_4_d_gas_n2o_scope1;gri_305_4_d_gas_hfcs_scope1;gri_305_4_d_gas_pfcs_scope1;gri_305_4_d_gas_sf6_scope1;gri_305_4_d_gas_nf3_scope1;gri_305_4_d_gas_co2_scope3;gri_305_4_d_gas_ch4_scope3;gri_305_4_d_gas_n2o_scope3;gri_305_4_d_gas_hfcs_scope3;gri_305_4_d_gas_pfcs_scope3;gri_305_4_d_gas_sf6_scope3;gri_305_4_d_gas_nf3_scope3
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_305_2_a_gross_scope2_location_based_ghg_emissions, GRI_305_2_b_gross_scope2_market_based_ghg_emissions, GRI_305_5_a_scope2_location_based_reduction_tco2e, GRI_305_5_a_scope2_market_based_reduction_tco2e",4,4,none,1,4 x 1,4,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope2_calculation_method=fixed,GRI_305_2_a_gross_scope2_location_based_ghg_emissions;GRI_305_2_b_gross_scope2_market_based_ghg_emissions;GRI_305_5_a_scope2_location_based_reduction_tco2e;GRI_305_5_a_scope2_market_based_reduction_tco2e
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_305_5_b_gas_co2_included, GRI_305_5_b_gas_ch4_included, GRI_305_5_b_gas_n2o_included, GRI_305_5_b_gas_hfcs_included, GRI_305_5_b_gas_pfcs_included, GRI_305_5_b_gas_sf6_included, GRI_305_5_b_gas_nf3_included",7,7,none,1,7 x 1,7,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_gas=fixed,GRI_305_5_b_gas_co2_included;GRI_305_5_b_gas_ch4_included;GRI_305_5_b_gas_n2o_included;GRI_305_5_b_gas_hfcs_included;GRI_305_5_b_gas_pfcs_included;GRI_305_5_b_gas_sf6_included;GRI_305_5_b_gas_nf3_included
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_306_4_b_hazardous_total, GRI_306_4_c_non_hazardous_total, DP_GRI_306_5_b_hazardous_total_waste_directed_to_disposal, DP_GRI_306_5_c_non_hazardous_total_waste_directed_to_disposal",4,4,none,1,4 x 1,4,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,waste_hazard_class=fixed,GRI_306_4_b_hazardous_total;GRI_306_4_c_non_hazardous_total;DP_GRI_306_5_b_hazardous_total_waste_directed_to_disposal;DP_GRI_306_5_c_non_hazardous_total_waste_directed_to_disposal
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_306_4_b_i_hazardous_preparation_for_reuse, GRI_306_4_b_ii_hazardous_recycling, GRI_306_4_b_iii_hazardous_other_recovery, GRI_306_4_c_i_non_hazardous_preparation_for_reuse, GRI_306_4_c_ii_non_hazardous_recycling, GRI_306_4_c_iii_non_hazardous_other_recovery",6,6,none,1,6 x 1,6,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,waste_hazard_class=fixed; waste_operation_recovery=fixed,GRI_306_4_b_i_hazardous_preparation_for_reuse;GRI_306_4_b_ii_hazardous_recycling;GRI_306_4_b_iii_hazardous_other_recovery;GRI_306_4_c_i_non_hazardous_preparation_for_reuse;GRI_306_4_c_ii_non_hazardous_recycling;GRI_306_4_c_iii_non_hazardous_other_recovery
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: GRI_306_4_d_hazardous_preparation_for_reuse_onsite, GRI_306_4_d_hazardous_preparation_for_reuse_offsite, GRI_306_4_d_hazardous_recycling_onsite, GRI_306_4_d_hazardous_recycling_offsite, GRI_306_4_d_hazardous_other_recovery_onsite, GRI_306_4_d_hazardous_other_recovery_offsite, GRI_306_4_d_non_hazardous_preparation_for_reuse_onsite, GRI_306_4_d_non_hazardous_preparation_for_reuse_offsite ...",12,12,none,1,12 x 1,12,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,waste_hazard_class=fixed; waste_operation_recovery=fixed; waste_site_location=fixed,GRI_306_4_d_hazardous_preparation_for_reuse_onsite;GRI_306_4_d_hazardous_preparation_for_reuse_offsite;GRI_306_4_d_hazardous_recycling_onsite;GRI_306_4_d_hazardous_recycling_offsite;GRI_306_4_d_hazardous_other_recovery_onsite;GRI_306_4_d_hazardous_other_recovery_offsite;GRI_306_4_d_non_hazardous_preparation_for_reuse_onsite;GRI_306_4_d_non_hazardous_preparation_for_reuse_offsite;GRI_306_4_d_non_hazardous_recycling_onsite;GRI_306_4_d_non_hazardous_recycling_offsite;GRI_306_4_d_non_hazardous_other_recovery_onsite;GRI_306_4_d_non_hazardous_other_recovery_offsite
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"reportable nodes with dimensions [none] examples: gri_305_4_d_gas_co2_scope2_location_based, gri_305_4_d_gas_ch4_scope2_location_based, gri_305_4_d_gas_n2o_scope2_location_based, gri_305_4_d_gas_hfcs_scope2_location_based, gri_305_4_d_gas_pfcs_scope2_location_based, gri_305_4_d_gas_sf6_scope2_location_based, gri_305_4_d_gas_nf3_scope2_location_based, gri_305_4_d_gas_co2_scope2_market_based ...",14,14,none,1,14 x 1,14,,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,ghg_scope=fixed; scope2_calculation_method=fixed; ghg_gas=fixed,gri_305_4_d_gas_co2_scope2_location_based;gri_305_4_d_gas_ch4_scope2_location_based;gri_305_4_d_gas_n2o_scope2_location_based;gri_305_4_d_gas_hfcs_scope2_location_based;gri_305_4_d_gas_pfcs_scope2_location_based;gri_305_4_d_gas_sf6_scope2_location_based;gri_305_4_d_gas_nf3_scope2_location_based;gri_305_4_d_gas_co2_scope2_market_based;gri_305_4_d_gas_ch4_scope2_market_based;gri_305_4_d_gas_n2o_scope2_market_based;gri_305_4_d_gas_hfcs_scope2_market_based;gri_305_4_d_gas_pfcs_scope2_market_based;gri_305_4_d_gas_sf6_scope2_market_based;gri_305_4_d_gas_nf3_scope2_market_based
GRI,GRI,SDS GRI controlled closed package 2026-05-22,"technical nodes with dimensions [none] examples: DP_GRI_306_5_b_i_hazardous_incineration_with_energy_recovery, DP_GRI_306_5_b_ii_hazardous_incineration_without_energy_recovery, DP_GRI_306_5_b_iii_hazardous_landfilling, DP_GRI_306_5_b_iv_hazardous_other_disposal_operations, DP_GRI_306_5_c_i_non_hazardous_incineration_with_energy_recovery, DP_GRI_306_5_c_ii_non_hazardous_incineration_without_energy_recovery, DP_GRI_306_5_c_iii_non_hazardous_landfilling, DP_GRI_306_5_c_iv_non_hazardous_other_disposal_operations",8,8,none,1,8 x 1,,8,,period; perimeter; entity; site; location; company master data,gri_full_controlled_closed_20260522T000000Z/sds_calculation_contract.json,technical-contract surface; waste_hazard_class=fixed; waste_operation_disposal=fixed,DP_GRI_306_5_b_i_hazardous_incineration_with_energy_recovery;DP_GRI_306_5_b_ii_hazardous_incineration_without_energy_recovery;DP_GRI_306_5_b_iii_hazardous_landfilling;DP_GRI_306_5_b_iv_hazardous_other_disposal_operations;DP_GRI_306_5_c_i_non_hazardous_incineration_with_energy_recovery;DP_GRI_306_5_c_ii_non_hazardous_incineration_without_energy_recovery;DP_GRI_306_5_c_iii_non_hazardous_landfilling;DP_GRI_306_5_c_iv_non_hazardous_other_disposal_operations
